School name,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Latitude,Longitude
Harris Junior Academy Carshalton,London,London,Sutton,Carshalton and Wallington,SM5 2NS,51.36919,-0.16648
Harris Primary Academy Crystal Palace,London,London,Bromley,Lewisham West and Penge,SE20 8RH,51.41632,-0.05897
Parish Church of England Primary School,London,London,Bromley,Bromley and Chislehurst,BR1 4HF,51.4151,0.01395
The Green School for Girls,London,London,Hounslow,Brentford and Isleworth,TW7 5BB,51.47911,-0.32494
Oasis Academy Pinewood,London,London,Havering,Romford,RM5 2TX,51.6106,0.16193
Tudor Academy,London,London,Croydon,Croydon Central,CR0 0PH,51.34865,-0.01373
Gateway Academy,London,London,Westminster,Westminster North,NW8 8LN,51.52468,-0.17049
Culloden Primary - A Paradigm Academy,London,London,Tower Hamlets,Poplar and Limehouse,E14 0PT,51.51422,-0.00501
Alexandra Junior School,London,London,Bromley,Lewisham West and Penge,SE26 5DS,51.42028,-0.04713
Highfield Infants' School,London,London,Bromley,Beckenham,BR2 0RX,51.39768,0.00408
Raglan Primary School,London,London,Bromley,Bromley and Chislehurst,BR2 9NL,51.39484,0.03275
Old Ford Primary School,London,London,Tower Hamlets,Bethnal Green and Bow,E3 5LD,51.53359,-0.03096
Forest Academy,London,London,Croydon,Croydon Central,CR0 8HQ,51.37233,-0.03056
Alexandra School,London,London,Harrow,Harrow West,HA2 9DX,51.56831,-0.36963
Holland Park School,London,London,Kensington and Chelsea,Kensington,W8 7AF,51.50488,-0.20062
Newlands Academy,London,London,Southwark,Camberwell and Peckham,SE15 3AZ,51.4586,-0.05009
Oriel Academy West London,London,London,Hounslow,Feltham and Heston,TW13 6QQ,51.43693,-0.39089
Benedict Primary School,London,London,Merton,Mitcham and Morden,CR4 3BE,51.40216,-0.1731
Joseph Clarke School,London,London,Waltham Forest,Chingford and Woodford Green,E4 9PP,51.60625,0.00284
Westside School,London,London,Hammersmith and Fulham,Hammersmith,W6 0LT,51.49336,-0.23273
Harris Primary Academy Haling Park,London,London,Croydon,Croydon South,CR2 6HS,51.35867,-0.09643
Oasis Academy Arena,London,London,Croydon,Croydon Central,SE25 4QL,51.39312,-0.06217
Mossbourne Victoria Park Academy,London,London,Hackney,Hackney South and Shoreditch,E9 7HD,51.53844,-0.04379
Kensington Aldridge Academy,London,London,Kensington and Chelsea,Kensington,W10 6EX,51.51441,-0.21532
Kensington Primary Academy,London,London,Kensington and Chelsea,Kensington,W14 8PU,51.49543,-0.20388
University Academy of Engineering South Bank,London,London,Southwark,Camberwell and Peckham,SE17 2TP,51.48791,-0.08927
Oasis Academy Putney,London,London,Wandsworth,Putney,SW15 1LY,51.46921,-0.22849
Broadfields Primary School,London,London,Barnet,Hendon,HA8 8JP,51.62962,-0.27366
Hurst Primary School,London,London,Bexley,Old Bexley and Sidcup,DA5 3AJ,51.44097,0.12602
Highfield Junior School,London,London,Bromley,Beckenham,BR2 0RL,51.39556,0.0022
Cheam Park Farm Primary Academy,London,London,Sutton,Sutton and Cheam,SM3 9UU,51.37433,-0.21527
St Aidan's Catholic Primary Academy,London,London,Redbridge,Ilford South,IG1 4AS,51.56673,0.09063
Barnehurst Infant School,London,London,Bexley,Bexleyheath and Crayford,DA8 3NL,51.46975,0.16173
Barnehurst Junior School,London,London,Bexley,Bexleyheath and Crayford,DA8 3NL,51.46975,0.16173
The Rise Free School,London,London,Hounslow,Feltham and Heston,TW13 7EF,51.44287,-0.40131
Langdon Academy,London,London,Newham,East Ham,E6 2PS,51.53227,0.06523
John Locke Academy,London,London,Hillingdon,Uxbridge and South Ruislip,UB10 0FW,51.54622,-0.46787
Lake Farm Park Academy,London,London,Hillingdon,Hayes and Harlington,UB3 1JA,51.51265,-0.42585
Harris Primary Academy Purley Way,London,London,Croydon,Croydon South,CR0 4FE,51.3635,-0.11705
Thomas Gamuel Primary School,London,London,Waltham Forest,Walthamstow,E17 8LG,51.57514,-0.02207
Floreat Wandsworth Primary School,London,London,Wandsworth,Tooting,SW18 4EQ,51.44734,-0.18913
Mossbourne Riverside Academy,London,London,Hackney,Hackney South and Shoreditch,E15 2GW,51.54698,-0.02355
Chestnut Park Primary School,London,London,Croydon,Croydon North,CR0 2UR,51.38401,-0.10504
Heathfield Academy,London,London,Croydon,Croydon Central,CR0 1EQ,51.36503,-0.09783
Bursted Wood Primary School,London,London,Bexley,Bexleyheath and Crayford,DA7 5BS,51.46872,0.15248
Perry Hall Primary School,London,London,Bromley,Orpington,BR6 0EF,51.38318,0.09717
Farnborough Primary School,London,London,Bromley,Orpington,BR6 7EQ,51.35905,0.0739
Manor Oak Primary School,London,London,Bromley,Orpington,BR5 3PE,51.39163,0.12432
Alexandra Infant School,London,London,Bromley,Lewisham West and Penge,BR3 1JG,51.41374,-0.0467
Loxford School,London,London,Redbridge,Ilford South,IG1 2UT,51.54982,0.08753
St Martin's Church of England Primary School,London,London,Hillingdon,Hayes and Harlington,UB7 7UF,51.49701,-0.47367
Whitehall Park School,London,London,Islington,Hornsey and Wood Green,N6 5EP,51.5726,-0.13354
John Donne Primary School,London,London,Southwark,Camberwell and Peckham,SE15 2SW,51.47258,-0.06084
Atwood Primary Academy,London,London,Croydon,Croydon South,CR2 9EE,51.32924,-0.07418
Sherwood Park Primary School,London,London,Bexley,Old Bexley and Sidcup,DA15 9JQ,51.44695,0.11176
Castlecombe Primary School,London,London,Bromley,Bromley and Chislehurst,SE9 4AT,51.42439,0.04331
Beal High School,London,London,Redbridge,Ilford North,IG4 5LP,51.58593,0.05162
Millbrook Park Primary School,London,London,Barnet,Hendon,NW7 1JF,51.60989,-0.20755
Lena Gardens Primary School,London,London,Hammersmith and Fulham,Hammersmith,W6 7PZ,51.49867,-0.22396
St John's Church of England Primary School,London,London,Bromley,Lewisham West and Penge,SE20 8HU,51.41522,-0.0552
Aylward Primary School,London,London,Harrow,Harrow East,HA7 4RE,51.61642,-0.29772
Octagon AP Academy,London,London,Haringey,Hornsey and Wood Green,N22 8DZ,51.60181,-0.11471
Knollmead Primary School,London,London,Kingston upon Thames,Kingston and Surbiton,KT5 9QP,51.37874,-0.27372
Pinkwell Primary School,London,London,Hillingdon,Hayes and Harlington,UB3 1PG,51.49816,-0.4394
Oasis Academy Ryelands,London,London,Croydon,Croydon Central,SE25 4XG,51.3937,-0.06515
Westbridge Primary School,London,London,Wandsworth,Battersea,SW11 3NE,51.47707,-0.17192
Winterbourne Boys' Academy,London,London,Croydon,Croydon North,CR7 7QT,51.39928,-0.11391
Kings Cross Academy,London,London,Camden,Holborn and St Pancras,N1C 4BT,51.53745,-0.12705
Dorothy Barley Junior Academy,London,London,Barking and Dagenham,Barking,RM8 2NB,51.54743,0.11494
Chipstead Valley Primary School,London,London,Croydon,Croydon South,CR5 3BW,51.31705,-0.15947
Days Lane Primary School,London,London,Bexley,Old Bexley and Sidcup,DA15 8JU,51.44629,0.09586
Fairchildes Primary School,London,London,Croydon,Croydon Central,CR0 0AH,51.33455,-0.00245
Oak Hill Academy,London,London,Hounslow,Feltham and Heston,TW13 4QP,51.43783,-0.4232
Keston Church of England Primary School,London,London,Bromley,Beckenham,BR2 6BN,51.36194,0.02965
Ruislip High School,London,London,Hillingdon,Uxbridge and South Ruislip,HA4 0BY,51.56473,-0.40813
Scotts Park Primary School,London,London,Bromley,Bromley and Chislehurst,BR1 2PR,51.4101,0.03083
Whitefield Schools,London,London,Waltham Forest,Walthamstow,E17 4AZ,51.59523,-0.00316
Woodfield School,London,London,Brent,Brent Central,NW9 7LY,51.5718,-0.25392
Beachcroft AP Academy,London,London,Westminster,Westminster North,NW8 0NW,51.5364,-0.17657
Latimer AP Academy,London,London,Kensington and Chelsea,Kensington,W10 6TT,51.51307,-0.21925
Earl's Court Free School Primary,London,London,Hammersmith and Fulham,Hammersmith,W6 0LB,51.49476,-0.23072
Drapers' Brookside Junior School,London,London,Havering,Hornchurch and Upminster,RM3 9DJ,51.60879,0.22389
Gladstone Park Primary School,London,London,Brent,Brent Central,NW10 1LB,51.55181,-0.23109
Broadmead Primary School,London,London,Croydon,Croydon North,CR0 2EA,51.38819,-0.09101
Rowdown Primary School,London,London,Croydon,Croydon Central,CR0 0EG,51.34182,-0.00824
Michaela Community School,London,London,Brent,Brent Central,HA9 0UU,51.56233,-0.27816
Marylebone Boys' School,London,London,Westminster,Hampstead and Kilburn,NW6 7BH,51.54297,-0.2107
Park Campus Academy,London,London,Lambeth,Dulwich and West Norwood,SE27 9NP,51.42829,-0.09796
Kennington Park Academy,London,London,Lambeth,Vauxhall,SE11 4AX,51.48278,-0.10657
Harris Primary Academy Beckenham,London,London,Bromley,Beckenham,BR3 3SJ,51.4005,-0.02675
Harris Academy Tottenham,London,London,Haringey,Tottenham,N17 9LN,51.59186,-0.06011
Harris Primary Academy Shortlands,London,London,Bromley,Beckenham,BR2 0HG,51.40196,0.0018
Harris Primary Academy East Dulwich,London,London,Southwark,Dulwich and West Norwood,SE22 8HA,51.45491,-0.0767
Elutec,London,London,Barking and Dagenham,Dagenham and Rainham,RM10 7FN,51.5459,0.16572
Harris Invictus Academy Croydon,London,London,Croydon,Croydon North,CR0 2TB,51.37966,-0.10378
Eden Girls' School Waltham Forest,London,London,Waltham Forest,Walthamstow,E17 5SD,51.59306,-0.04205
Goresbrook School,London,London,Barking and Dagenham,Barking,RM9 6XW,51.53244,0.13071
St Mary's Church of England Primary Norwood Green,London,London,Ealing,"Ealing, Southall",UB2 4LE,51.49522,-0.36565
Trinity Academy,London,London,Lambeth,Streatham,SW2 1QS,51.45653,-0.11957
Paxton Academy Sports And Science,London,London,Croydon,Croydon North,CR7 7JP,51.39376,-0.1125
Alexandra Primary School,London,London,Hounslow,Brentford and Isleworth,TW3 4DU,51.47484,-0.36096
Harris Academy Battersea,London,London,Wandsworth,Battersea,SW11 5AP,51.47324,-0.15952
La Fontaine Academy,London,London,Bromley,Bromley and Chislehurst,BR1 2SQ,51.40216,0.03069
Beacon Business Innovation Hub,London,London,Redbridge,Ilford North,IG4 5LP,51.58593,0.05162
Meridian Angel Primary School,London,London,Enfield,Edmonton,N18 2DX,51.61232,-0.05138
Ark Elvin Academy,London,London,Brent,Brent North,HA9 7DU,51.55224,-0.29099
Park Community School,London,London,Merton,Wimbledon,SW19 3EF,51.40871,-0.19422
De Salis Studio College,London,London,Hillingdon,Hayes and Harlington,UB4 8JP,51.52893,-0.43997
"Canary Wharf College, Glenworth",London,London,Tower Hamlets,Poplar and Limehouse,E14 3EB,51.48959,-0.00551
Brampton Primary Academy,London,London,Bexley,Bexleyheath and Crayford,DA7 4SL,51.46685,0.12916
Heathland School,London,London,Harrow,Harrow West,HA2 9AG,51.56365,-0.36926
Hillingdon Primary School,London,London,Hillingdon,Uxbridge and South Ruislip,UB10 0PH,51.53125,-0.4517
Whitefriars School,London,London,Harrow,Harrow East,HA3 5RQ,51.59829,-0.34066
Oasis Academy Silvertown,London,London,Newham,East Ham,E16 2TX,51.50166,0.06144
Mayplace Primary School,London,London,Bexley,Bexleyheath and Crayford,DA7 6EQ,51.45687,0.16669
Bromley Trust Alternative Provision Academy,London,London,Bromley,Bromley and Chislehurst,BR2 9EA,51.39405,0.02403
St. Mary Cray Primary Academy,London,London,Bromley,Orpington,BR5 4AR,51.38704,0.11348
New Valley Primary School,London,London,Croydon,Croydon South,CR8 4AZ,51.31613,-0.11534
St Mark's Church of England Primary Academy,London,London,Croydon,Croydon North,SE25 4JD,51.39917,-0.07105
Beulah Infants' School,London,London,Croydon,Croydon North,CR7 8NJ,51.40392,-0.09826
The Pears Family School,London,London,Islington,Islington South and Finsbury,N1 9PN,51.53307,-0.10874
London Enterprise Academy,London,London,Tower Hamlets,Bethnal Green and Bow,E1 1RD,51.515,-0.06379
The Fulham Boys School,London,London,Hammersmith and Fulham,Hammersmith,W14 9LY,51.48959,-0.20311
Education Links,London,London,Newham,West Ham,E15 1TT,51.55037,0.00092
Harris Primary Academy Merton,London,London,Merton,Mitcham and Morden,CR4 1JW,51.40234,-0.13755
North West London Jewish Day School,London,London,Brent,Hampstead and Kilburn,NW6 7PP,51.54476,-0.21203
St Peter and St Paul Catholic Primary School,London,London,Bromley,Bromley and Chislehurst,BR5 2SR,51.40337,0.08984
Woolwich Polytechnic School,London,London,Greenwich,Erith and Thamesmead,SE28 8AT,51.5032,0.10873
Wac Arts College,London,London,Camden,Hampstead and Kilburn,NW3 4QP,51.551,-0.16659
Rise Park Junior School,London,London,Havering,Romford,RM1 4UD,51.59623,0.17919
The Warren School,London,London,Barking and Dagenham,Dagenham and Rainham,RM6 6SB,51.57694,0.14177
Brook House Primary School,London,London,Haringey,Tottenham,N17 8EY,51.60722,-0.06842
The Archbishop Lanfranc Academy,London,London,Croydon,Croydon North,CR9 3AS,51.39121,-0.13056
John F Kennedy Special School,London,London,Newham,West Ham,E15 4RZ,51.53818,0.00354
Leesons Primary School,London,London,Bromley,Bromley and Chislehurst,BR5 2GA,51.39868,0.10509
Sheringham Primary School,London,London,Newham,East Ham,E12 5PB,51.55364,0.05942
Rise Park Infant School,London,London,Havering,Romford,RM1 4UD,51.59623,0.17919
Stationers' Crown Woods Academy,London,London,Greenwich,Eltham,SE9 2PT,51.45339,0.07577
Trinity Church of England Primary School,London,London,Bromley,Beckenham,BR2 8LD,51.38084,0.04488
The Young People's Academy,London,London,Hillingdon,Uxbridge and South Ruislip,UB7 8AB,51.51701,-0.472
St Vincent's Catholic Primary School,London,London,Bromley,Bromley and Chislehurst,SE9 4JR,51.4291,0.04414
St Philomena's Primary School,London,London,Bromley,Orpington,BR5 4DR,51.38224,0.11548
St Nicholas Church of England Primary,London,London,Bromley,Bromley and Chislehurst,BR7 5PQ,51.41065,0.07293
St Mary's Catholic Primary School,London,London,Bromley,Beckenham,BR3 5DE,51.41375,-0.0145
Drapers' Maylands Primary School,London,London,Havering,Hornchurch and Upminster,RM3 9XR,51.6095,0.24001
Rosedale Primary School,London,London,Hillingdon,Hayes and Harlington,UB3 2SE,51.51998,-0.4292
St Joseph's Catholic Primary School,London,London,Bromley,Bromley and Chislehurst,BR1 3JQ,51.41198,0.02591
St Mark's Church of England Primary School,London,London,Bromley,Beckenham,BR2 0QR,51.39913,0.01262
Northwold Primary School,London,London,Hackney,Hackney North and Stoke Newington,E5 8RN,51.56265,-0.06506
Drapers' Pyrgo Priory School,London,London,Havering,Hornchurch and Upminster,RM3 9RT,51.60915,0.23617
The Bridge Integrated Learning Space,London,London,Islington,Islington South and Finsbury,N1 0HY,51.53823,-0.10895
Pentland Field School,London,London,Hillingdon,"Ruislip, Northwood and Pinner",UB10 8TS,51.56614,-0.4392
Midfield Primary School,London,London,Bromley,Bromley and Chislehurst,BR5 3EG,51.41094,0.10462
The Hurlingham Academy,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 3ED,51.46782,-0.19652
Thames View Junior School,London,London,Barking and Dagenham,Barking,IG11 0LG,51.52794,0.10386
Angel Oak Academy,London,London,Southwark,Camberwell and Peckham,SE15 6FL,51.47992,-0.07844
St Andrew and St Francis CofE Primary School,London,London,Brent,Brent Central,NW2 5PE,51.54919,-0.23654
The Sydney Russell School,London,London,Barking and Dagenham,Barking,RM9 5QT,51.54874,0.1325
Langford Primary School,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 2LG,51.47221,-0.18893
St Thomas More Catholic Comprehensive School,London,London,Greenwich,Eltham,SE9 2SU,51.44736,0.0625
Ryefield Primary School,London,London,Hillingdon,Uxbridge and South Ruislip,UB10 9DE,51.54239,-0.43753
Lime Academy Larkswood,London,London,Waltham Forest,Chingford and Woodford Green,E4 8ET,51.61713,-0.01399
Walthamstow Primary Academy,London,London,Waltham Forest,Walthamstow,E17 5DP,51.59948,-0.02444
Halley House School,London,London,Hackney,Hackney North and Stoke Newington,E8 2DJ,51.55209,-0.07384
Kilburn Grange School,London,London,Brent,Hampstead and Kilburn,NW6 7UJ,51.54059,-0.19705
Castle Hill Primary School,London,London,Kingston upon Thames,Kingston and Surbiton,KT9 1JE,51.36537,-0.29672
Hawes Down Primary School,London,London,Bromley,Beckenham,BR4 0BA,51.37754,-0.0069
Saint Cecilia's Church of England School,London,London,Wandsworth,Putney,SW18 5JR,51.44688,-0.2085
The Kingston Academy,London,London,Kingston upon Thames,Richmond Park,KT2 5PE,51.42333,-0.30178
Lessness Heath Primary School,London,London,Bexley,Erith and Thamesmead,DA17 6HB,51.48395,0.1503
Green Wrythe Primary School,London,London,Sutton,Carshalton and Wallington,SM5 1JP,51.38942,-0.1785
Normandy Primary School,London,London,Bexley,Bexleyheath and Crayford,DA7 6QP,51.46908,0.17112
Beddington Park Primary School,London,London,Sutton,Carshalton and Wallington,CR0 4UL,51.37358,-0.13458
Cudham Church of England Primary School,London,London,Bromley,Orpington,TN16 3AX,51.31486,0.05229
Greenside Primary School,London,London,Hammersmith and Fulham,Hammersmith,W12 9PT,51.5039,-0.23664
Holy Innocents Catholic Primary School,London,London,Bromley,Orpington,BR6 9JT,51.36627,0.09154
St Helen's Catholic Primary School,London,London,Newham,West Ham,E13 8DW,51.52258,0.01704
St Joachim's Catholic  Primary School,London,London,Newham,West Ham,E16 3DT,51.51174,0.03085
The Cardinal Vaughan Memorial RC School,London,London,Kensington and Chelsea,Kensington,W14 8BZ,51.50387,-0.21181
Parkwood Hall Co-Operative Academy,London,London,Kensington and Chelsea,Sevenoaks,BR8 8DR,51.39364,0.19069
Kingston Community School,London,London,Kingston upon Thames,Richmond Park,KT2 6EU,51.41798,-0.29415
Turing House School,London,London,Richmond upon Thames,Twickenham,TW11 0LR,51.42503,-0.34026
Burnt Oak Junior School,London,London,Bexley,Old Bexley and Sidcup,DA15 9DA,51.43765,0.10078
Bromley Beacon Academy,London,London,Bromley,Orpington,BR6 9BD,51.36983,0.12115
Deer Park School,London,London,Richmond upon Thames,Richmond Park,TW9 2RE,51.46437,-0.30302
Mead Road Infant School,London,London,Bromley,Bromley and Chislehurst,BR7 6AD,51.41875,0.07173
Orchard Park High (Croydon),London,London,Croydon,Croydon Central,CR0 7NJ,51.38452,-0.0403
Forest Approach Academy,London,London,Havering,Hornchurch and Upminster,RM3 9YA,51.61124,0.23822
The Belham Primary School,London,London,Southwark,Camberwell and Peckham,SE15 4DG,51.46552,-0.07437
The Skills Hub,London,London,Hillingdon,Uxbridge and South Ruislip,UB7 8HJ,51.51175,-0.4672
Ark Byron Primary Academy,London,London,Ealing,Ealing Central and Acton,W3 8NR,51.50483,-0.26641
Hackney New Primary School,London,London,Hackney,Hackney South and Shoreditch,N1 5TR,51.53913,-0.08352
Watling Park School,London,London,Barnet,Hendon,HA8 9YA,51.60696,-0.26801
Twickenham Primary Academy,London,London,Richmond upon Thames,Twickenham,TW2 6QF,51.44518,-0.33973
Space Studio West London,London,London,Hounslow,Feltham and Heston,TW14 9PE,51.45291,-0.42085
Riverside Primary School,London,London,Barking and Dagenham,Barking,IG11 0FU,51.52166,0.11841
Riverside Bridge School,London,London,Barking and Dagenham,Barking,IG11 0FU,51.52166,0.11841
Avenue Primary Academy,London,London,Sutton,Sutton and Cheam,SM2 6JE,51.34612,-0.20292
The Charter School East Dulwich,London,London,Southwark,Dulwich and West Norwood,SE22 8RB,51.46018,-0.08025
St. Mary's Catholic Junior School,London,London,Croydon,Croydon Central,CR0 2EW,51.38059,-0.09515
Old Bexley Church of England School,London,London,Bexley,Old Bexley and Sidcup,DA5 3JR,51.43949,0.13838
Holy Trinity Lamorbey Church of England School,London,London,Bexley,Old Bexley and Sidcup,DA15 9DB,51.43712,0.10148
Mottingham Primary School,London,London,Bromley,Bromley and Chislehurst,SE9 4LW,51.42998,0.04953
Oaklands Primary Academy,London,London,Bromley,Orpington,TN16 3DN,51.31613,0.02607
St Mary's Catholic Infant School,London,London,Croydon,Croydon Central,CR0 2AQ,51.37929,-0.09569
Mossbourne Parkside Academy,London,London,Hackney,Hackney South and Shoreditch,E8 1AS,51.54876,-0.06247
Thomas's Academy,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 4LY,51.47209,-0.2042
Upton Cross Primary School,London,London,Newham,West Ham,E13 0RJ,51.53624,0.0296
St Paulinus Church of England Primary School,London,London,Bexley,Bexleyheath and Crayford,DA1 4RW,51.45447,0.17724
Hillsgrove Primary School,London,London,Bexley,Bexleyheath and Crayford,DA16 1DR,51.47391,0.1191
Oak Lodge Primary School,London,London,Bromley,Beckenham,BR4 0LJ,51.38063,-0.0249
Marian Vian Primary School,London,London,Bromley,Beckenham,BR3 4AZ,51.39517,-0.04588
Unicorn Primary School,London,London,Bromley,Beckenham,BR3 3AL,51.39196,-0.02105
Wickham Common Primary School,London,London,Bromley,Beckenham,BR4 9DG,51.36607,0.00959
The Crescent Primary School,London,London,Croydon,Croydon North,CR0 2HN,51.39039,-0.09261
Cheam Common Junior Academy,London,London,Sutton,Sutton and Cheam,KT4 8UT,51.37452,-0.23739
Worsley Bridge Primary School,London,London,Bromley,Beckenham,BR3 1RF,51.41622,-0.02663
Al-Noor Voluntary Aided Muslim Primary School,London,London,Redbridge,Ilford South,IG3 9RP,51.56321,0.11603
St Winifred's RC Primary School,London,London,Lewisham,Lewisham East,SE12 0SJ,51.44773,0.00957
Avanti Court Primary School,London,London,Redbridge,Ilford North,IG6 1LZ,51.58736,0.08804
St Bernadette's Catholic Primary School,London,London,Harrow,Harrow East,HA3 9NS,51.58777,-0.28908
St Gregory's Catholic Science College,London,London,Brent,Brent North,HA3 0NB,51.58228,-0.3027
Burnt Ash Primary School,London,London,Bromley,Bromley and Chislehurst,BR1 4QX,51.42161,0.01107
Eastcote Primary Academy,London,London,Bexley,Old Bexley and Sidcup,DA16 2ST,51.46401,0.08414
Good Shepherd Catholic Primary and Nursery School,London,London,Croydon,Croydon Central,CR0 0RG,51.35279,-0.02066
International Academy of Greenwich,London,London,Greenwich,Eltham,SE3 9DU,51.45757,0.01239
Davidson Primary Academy,London,London,Croydon,Croydon Central,CR0 6JA,51.38429,-0.08042
Menorah High School for Girls,London,London,Barnet,Brent Central,NW2 7BZ,51.56253,-0.23792
Portway Primary School,London,London,Newham,West Ham,E13 0JW,51.53361,0.01905
Claremont Primary School,London,London,Barnet,Finchley and Golders Green,NW2 1AB,51.56569,-0.21763
Sarah Bonnell School,London,London,Newham,West Ham,E15 4LP,51.54297,0.0074
Ealing Fields High School,London,London,Ealing,"Ealing, Southall",W7 2BB,51.49747,-0.32894
Bedelsford School,London,London,Kingston upon Thames,Kingston and Surbiton,KT1 2QZ,51.40563,-0.3015
Chelsfield Primary School,London,London,Bromley,Orpington,BR6 6EP,51.35784,0.12592
Darrick Wood Junior School,London,London,Bromley,Orpington,BR6 8ER,51.36584,0.06355
Dysart School,London,London,Kingston upon Thames,Kingston and Surbiton,KT6 6HL,51.38638,-0.2968
Eastbury Primary School,London,London,Barking and Dagenham,Barking,IG11 9QQ,51.53635,0.1011
Furness Primary School,London,London,Brent,Brent Central,NW10 5YT,51.53383,-0.23858
Hartley Primary School,London,London,Newham,East Ham,E6 1NT,51.53317,0.04949
Mayville Primary School,London,London,Waltham Forest,Leyton and Wanstead,E11 4PZ,51.5607,0.00485
Oakington Manor Primary School,London,London,Brent,Brent Central,HA9 6NF,51.55196,-0.27243
Pratts Bottom Primary School,London,London,Bromley,Orpington,BR6 7NX,51.33324,0.11517
Ravensbourne School,London,London,Havering,Hornchurch and Upminster,RM3 8HN,51.59477,0.21578
Royal Park Primary Academy,London,London,Bexley,Old Bexley and Sidcup,DA14 4PX,51.43063,0.12932
Selwyn Primary School,London,London,Newham,West Ham,E13 0LX,51.53613,0.02305
Southgate School,London,London,Enfield,"Enfield, Southgate",EN4 0BL,51.64694,-0.14078
St Aidan's Catholic Primary School,London,London,Croydon,Croydon South,CR5 3DE,51.31486,-0.15128
St Chad's Catholic Primary School,London,London,Croydon,Croydon North,SE25 6LR,51.39446,-0.0834
St Philip's School,London,London,Kingston upon Thames,Kingston and Surbiton,KT9 2HR,51.3578,-0.31079
The Highway Primary School,London,London,Bromley,Orpington,BR6 9DJ,51.35991,0.11107
Victor Seymour Infants' School,London,London,Sutton,Carshalton and Wallington,SM5 2JE,51.37118,-0.16153
Ashmole Primary School,London,London,Barnet,Chipping Barnet,N14 7NP,51.62889,-0.13697
Logic Studio School,London,London,Hounslow,Feltham and Heston,TW13 7EF,51.44287,-0.40131
Krishna Avanti Primary School,London,London,Croydon,Croydon South,CR0 4HA,51.36782,-0.1039
Pinner High School,London,London,Harrow,"Ruislip, Northwood and Pinner",HA5 1NB,51.57929,-0.38701
One Degree Academy,London,London,Enfield,Edmonton,EN3 4SA,51.64688,-0.04913
Galleywall Primary,London,London,Southwark,Bermondsey and Old Southwark,SE16 3PB,51.49041,-0.06014
Canary Wharf College 3,London,London,Tower Hamlets,Poplar and Limehouse,E14 9GL,51.49488,-0.01493
Concordia Academy,London,London,Havering,Romford,RM7 0HG,51.57213,0.17721
The Global Academy,London,London,Hillingdon,Hayes and Harlington,UB3 1DH,51.50476,-0.4271
Edison Primary School,London,London,Hounslow,Feltham and Heston,TW5 0AQ,51.48046,-0.38179
Atam Academy,London,London,Redbridge,Ilford South,RM6 4XT,51.57995,0.1191
Langley Park Primary School,London,London,Bromley,Beckenham,BR3 3BE,51.3883,-0.01812
London Design and Engineering UTC,London,London,Newham,East Ham,E16 2RD,51.50756,0.06323
Saint Jerome Church of England Bilingual School,London,London,Harrow,Harrow West,HA1 2DJ,51.58572,-0.332
South Bank Engineering UTC,London,London,Lambeth,Streatham,SW2 1QS,51.45653,-0.11957
Greatfields School,London,London,Barking and Dagenham,Barking,IG11 7TD,51.53258,0.08492
Drapers' Brookside Infant School,London,London,Havering,Hornchurch and Upminster,RM3 9DJ,51.60879,0.22389
Stanley Park High,London,London,Sutton,Carshalton and Wallington,SM5 4NS,51.34765,-0.1661
"City of London Primary Academy, Islington",London,London,Islington,Islington South and Finsbury,EC1V 8BB,51.52854,-0.10034
The Richmond upon Thames School,London,London,Richmond upon Thames,Twickenham,TW2 7SL,51.45214,-0.34026
Clare House Primary School,London,London,Bromley,Beckenham,BR3 6PY,51.40265,-0.01521
Windrush Primary School,London,London,Greenwich,Erith and Thamesmead,SE28 8AR,51.50253,0.1156
Bishop Douglass School Finchley,London,London,Barnet,Finchley and Golders Green,N2 0SQ,51.59406,-0.17829
Chatsworth Infant School,London,London,Bexley,Old Bexley and Sidcup,DA15 9DD,51.44063,0.10629
"St George's, Bickley, Church of England Primary School",London,London,Bromley,Bromley and Chislehurst,BR1 2RL,51.40403,0.03438
The Boxing Academy AP Free School,London,London,Hackney,Hackney South and Shoreditch,E8 3NR,51.54408,-0.05666
Dorset Road Infant School,London,London,Bromley,Bromley and Chislehurst,SE9 4QX,51.43566,0.04264
Red Hill Primary School,London,London,Bromley,Bromley and Chislehurst,BR7 6DA,51.42121,0.06269
Woodlands Academy,London,London,Ealing,Ealing North,W13 0DH,51.52278,-0.32885
Phoenix Academy,London,London,Hammersmith and Fulham,Hammersmith,W12 0RQ,51.51316,-0.23789
Olive Ap Academy - Havering,London,London,Havering,Hornchurch and Upminster,RM11 3UR,51.56168,0.22488
Beecholme Primary School,London,London,Merton,Mitcham and Morden,CR4 2HZ,51.41287,-0.15068
Ark Paddington Green Primary Academy,London,London,Westminster,Westminster North,W2 1ND,51.52376,-0.17675
Nightingale Community Academy,London,London,Wandsworth,Tooting,SW17 7DF,51.43759,-0.168
The Woodside Academy,London,London,Croydon,Croydon Central,CR0 6NF,51.38484,-0.07461
Edmonton County School,London,London,Enfield,Edmonton,N9 9JZ,51.63334,-0.07876
Hazelbury Primary School,London,London,Enfield,Edmonton,N9 9TT,51.62239,-0.07506
Lavender Primary School,London,London,Enfield,Enfield North,EN2 0SX,51.66515,-0.07815
